Municipality Code,State Code,Region,State,Municipality,Population,Adult Population,Adult Population (Women),Adult Population (Men),Type of Population,Social Lag Index,Banking Agents,Bank Branches,ATMs,POS Terminals,Businesses with POS Terminals,Accounts with Mobile Transactions,ATM Transactions,POS Transactions,Banking - Savings Accounts,Banking - Term Deposit Accounts,Banking - Transactional Accounts Level 1,Banking - Transactional Accounts Level 2,Banking - Transactional Accounts Level 3,Banking - Transactional Accounts Level 4,Banking - Debit Card Accounts,EACP - Savings Accounts,EACP - Term Deposit Accounts,EACP - Demand Deposit Accounts,EACP - Debit Card Accounts,Total - Total Accounts,Banking - Credit Cards,Banking - Personal Loans,Banking - Payroll Loans,Banking - ABCD Loans,Banking - Group Loans,Banking - Mortgage Loans,Banking - Auto Loans,EACP - Credit Cards,EACP - Consumer Loans,EACP - Housing Loans,EACP - Commercial Loans,Total - Total Loans
1001,1,Occidente y Bajío,Aguascalientes,Aguascalientes,948990,707473,368028,339445,Semi-metrópoli,Muy bajo,493,143,630,17346,11408,813346,1683763,2759761,16797,22589,0,148686,1002,981144,1414365,65537,31193,188962,68769,1455910,303360,222805,74904,36836,5985,19918,15843,69211,29435,350,34699,778647
1002,1,Occidente y Bajío,Aguascalientes,Asientos,51536,35250,18088,17162,Urbano,Muy bajo,16,2,5,71,65,15217,16360,12883,0,5,0,180,0,2087,11364,1916,305,2006,547,6499,1912,3942,1566,1715,576,35,140,415,503,0,192,10804
1003,1,Occidente y Bajío,Aguascalientes,Calvillo,58250,41495,21446,20049,Urbano,Muy bajo,14,8,20,277,239,22691,59879,24844,0,1867,0,2610,2,29171,47937,6848,1511,4143,1029,46152,8937,5407,1263,992,69,77,171,812,1640,4,470,19372
1004,1,Occidente y Bajío,Aguascalientes,Cosío,17000,11817,6125,5692,Semi-urbano,Muy bajo,9,1,5,38,32,4599,15029,4038,0,2,0,56,0,1616,5947,1233,99,1136,231,4142,911,2158,813,1024,506,33,60,184,421,0,111,6110
1005,1,Occidente y Bajío,Aguascalientes,Jesús María,129929,91487,46899,44588,Urbano,Muy bajo,56,7,40,931,797,48698,107915,142934,0,268,0,239,0,15541,34040,9991,4025,19365,7212,49429,25312,11003,6384,8090,1271,4739,2366,7562,3241,39,471,70007
1006,1,Occidente y Bajío,Aguascalientes,Pabellón de Arteaga,47646,33468,17256,16212,Semi-urbano,Muy bajo,17,7,24,215,196,21566,87551,27772,0,1020,0,3087,20,24537,44074,3747,537,2861,1126,35809,8012,3564,2376,2209,260,156,335,973,1149,6,97,19040
1007,1,Occidente y Bajío,Aguascalientes,Rincón de Romos,57369,39505,20520,18985,Urbano,Muy bajo,21,8,24,241,209,24890,95108,23097,0,1821,0,1760,12,32997,60710,2442,353,3228,1123,42613,10065,8376,2707,4572,926,135,405,947,790,2,187,28925
1008,1,Occidente y Bajío,Aguascalientes,San José de Gracia,9552,6519,3473,3046,En Transición,Muy bajo,3,1,3,33,25,3675,10796,2216,0,12,0,4,0,3234,4944,339,45,417,114,4051,527,663,345,351,85,11,48,93,92,0,38,2215
1009,1,Occidente y Bajío,Aguascalientes,Tepezalá,22485,15573,7971,7602,Semi-urbano,Muy bajo,8,1,2,73,63,5248,5950,8357,0,11,0,11,0,1087,1434,1247,233,970,260,3559,801,1951,811,973,125,8,76,206,221,0,62,5172
1010,1,Occidente y Bajío,Aguascalientes,"Llano, El",20853,14603,7355,7248,Semi-urbano,Muy bajo,5,3,13,101,86,4539,33819,9564,0,5,0,6,0,220,3254,450,166,1415,245,2262,723,1077,605,723,70,13,69,167,148,0,89,3595
1011,1,Occidente y Bajío,Aguascalientes,San Francisco de los Romo,61997,41714,21226,20488,Urbano,Muy bajo,29,4,47,397,329,20122,99585,92926,0,30,0,63,0,3929,10899,4334,1424,6105,2642,15885,4817,5355,2826,2783,340,624,406,2297,1507,8,179,20963
2001,2,Noroeste,Baja California,Ensenada,443807,339720,171188,168532,Semi-metrópoli,Muy bajo,382,64,352,5780,4084,393527,856526,1478209,10191,8373,1,44031,92,485736,706870,3416,6999,53584,35118,612423,158237,47339,28527,6550,11956,5398,5935,39294,2638,2,3404,305876
2002,2,Noroeste,Baja California,Mexicali,1049792,814668,404632,410036,Metrópoli,Muy bajo,818,125,721,17032,9776,830808,1704732,4717898,15518,14308,0,165940,302,1021719,1598208,6698,16322,99911,69417,1340718,297398,89754,79728,24109,20816,17833,17998,71947,5345,3,7616,624931
2003,2,Noroeste,Baja California,Tecate,108440,82545,38513,44032,Urbano,Muy bajo,95,10,99,1195,916,88145,214974,303613,1309,1405,0,9244,60,102013,164594,892,1064,7947,6801,123934,28848,5457,7763,1101,3194,392,1192,6912,448,0,237,55307
2004,2,Noroeste,Baja California,Tijuana,1922523,1467282,730407,736875,Metrópoli,Muy bajo,1360,190,1470,24686,10698,1452160,3564056,6531307,30276,20912,0,214797,1051,1880093,2849510,12968,35173,216954,157204,2412224,555550,134260,119348,35182,36765,26492,26011,162776,10178,4,8722,1106566
2005,2,Noroeste,Baja California,Playas de Rosarito,126890,96931,47786,49145,Urbano,Muy bajo,104,17,109,901,696,82755,223602,214104,2261,1337,0,9123,31,110435,154081,985,1584,13538,8729,139294,33086,6555,5877,1225,3434,1379,1008,8849,549,0,489,61962
2006,2,Noroeste,Baja California,San Quintín,117568,81352,39804,41548,Urbano,Medio,9,4,4,3,3,11,4395,462,0,0,0,50,0,1134,4625,0,239,2481,2981,3904,2,0,0,0,1,0,0,1763,88,0,4,1854
3001,3,Noroeste,Baja California Sur,Comondú,73021,55168,27374,27794,Urbano,Muy bajo,45,9,29,296,244,31735,94135,80520,0,636,0,6061,0,61543,110581,325,356,4112,3502,73033,15752,8872,3972,2149,1249,304,248,3597,329,0,2597,36472
3002,3,Noroeste,Baja California Sur,Mulegé,64022,46913,22484,24429,Urbano,Bajo,79,15,49,756,461,31740,85027,292540,0,453,0,5826,0,58791,97475,256,382,4514,3327,70222,12899,8916,4871,3232,1934,117,280,3117,360,0,647,35726
3003,3,Noroeste,Baja California Sur,"Paz, La",292241,227140,114248,112892,Urbano,Muy bajo,251,49,249,8789,5211,268488,510698,1712353,5539,4785,1,37228,191,327279,506245,2048,4580,39165,27356,420816,105580,38343,23621,10292,9905,5784,4346,31111,2433,0,2633,231415
3008,3,Noroeste,Baja California Sur,"Cabos, Los",351111,254833,122807,132026,Semi-metrópoli,Muy bajo,257,65,454,8907,4837,327530,612772,1074360,7923,3454,0,29388,557,427078,607780,1759,5604,51042,32674,526805,118141,25016,23633,4870,11833,6912,6274,37980,2555,1,6739,237215
3009,3,Noroeste,Baja California Sur,Loreto,18052,13498,6569,6929,Semi-urbano,Muy bajo,25,5,15,469,341,14908,30543,108230,0,52,0,1602,1,13408,21618,69,86,1818,1374,17036,3202,2497,1664,479,292,36,96,1364,135,0,495,9765
4001,4,Sur,Campeche,Calkiní,59232,43717,22280,21437,Urbano,Bajo,23,9,18,123,108,27294,82707,24640,0,456,0,1354,0,23078,43830,6995,1346,5611,1673,38840,6984,7750,3425,2266,1544,58,410,1555,957,0,945,24949
4002,4,Sur,Campeche,Campeche,294077,226479,119392,107087,Urbano,Muy bajo,152,41,195,2823,2112,248325,525249,643783,5396,5201,0,42947,99,291828,466407,11289,7288,62913,30262,426961,77908,45032,22641,18509,14417,2610,5994,32353,5354,6,1330,224824
4003,4,Sur,Campeche,Carmen,248845,184437,94080,90357,Urbano,Muy bajo,98,36,162,3096,1465,242027,489950,430975,4044,3125,0,25572,51,270803,403013,5010,7434,57013,29863,373052,65615,30255,16296,11705,11670,4038,5085,33817,3036,5,876,181522
4004,4,Sur,Campeche,Champotón,78170,55767,28198,27569,Urbano,Bajo,42,11,32,290,240,42079,99481,50392,1049,442,0,6921,0,36728,67725,6700,1552,11510,3018,64902,9166,13663,3214,4811,3277,213,549,2352,1265,26,1399,38536
4005,4,Sur,Campeche,Hecelchakán,31917,23366,11936,11430,Semi-urbano,Bajo,7,4,9,229,42,11899,33231,8608,0,27,0,188,0,4884,18283,3053,574,3117,1256,11843,1518,4741,1849,936,512,30,235,1058,474,2,520,11355
4006,4,Sur,Campeche,Hopelchén,42140,29013,14353,14660,Semi-urbano,Bajo,6,6,10,91,78,10851,43540,8369,0,64,0,791,1,8985,30640,3089,530,3184,590,16644,2050,1460,1330,1015,809,20,122,451,389,0,424,7646
4007,4,Sur,Campeche,Palizada,8683,6241,3052,3189,En Transición,Bajo,4,1,3,29,22,7986,6306,6952,0,12,0,601,0,5290,9939,64,32,634,277,6633,1030,720,450,252,523,25,41,213,24,0,7,3278
4008,4,Sur,Campeche,Tenabo,11452,8332,4121,4211,En Transición,Bajo,6,2,5,16,16,4362,11023,3234,0,101,0,10360,0,3291,33587,264,132,935,415,15083,460,1107,535,307,573,10,58,283,63,0,67,3396
4009,4,Sur,Campeche,Escárcega,59923,41839,21604,20235,Urbano,Bajo,19,9,21,306,242,31103,95230,51124,0,607,0,2519,1,40990,70248,4241,803,4882,2326,54043,9897,11256,1654,4016,1580,96,306,1855,461,0,622,31121
4010,4,Sur,Campeche,Calakmul,31714,20425,10144,10281,Semi-urbano,Medio,7,4,5,59,59,8165,22238,12875,0,63,0,571,0,7680,15268,2220,85,646,429,11265,471,2285,335,552,201,4,85,308,83,0,685,4324
4011,4,Sur,Campeche,Candelaria,46913,31792,15658,16134,Semi-urbano,Medio,5,5,9,81,68,11394,29399,13140,0,102,0,38,0,18139,21333,491,445,2960,769,22175,1106,2469,470,1605,409,51,129,621,63,0,90,6923
