mun_code,NOM_ENT,NOM_MUN,Total Occupied Private Households with Characteristics (2020),Total Population (2020),Population Aged 5+,Population Aged 12+,Population Aged 15+,Population Aged 18+,Population Aged 60+ (2020),Average Number of Live-born Children per Woman (2020),Population Born in Another State (2020),Population Aged 5+ That Speaks an Indigenous Language (2020),Population Aged 5+ That Speaks Only an Indigenous Language (2020),Population in Indigenous Census Households (2020),Population That Identifies as Afro-Mexican or Afrodescendant (2020),Population with Disabilities (2020),Population Aged 15+ That Is Illiterate (2020),Population Aged 15+ Without Schooling (2020),Population Aged 15+ with Completed Primary Education (2020),Population Aged 15+ with Completed Secondary Education (2020),Average Years of Schooling (2020),Population Aged 18+ with Post-Basic Education (2020),Economically Active Population Aged 12+ (2020),Economically Inactive Population Aged 12+ (2020),Unemployed Population Aged 12+ (2020),Population Without Health Service Affiliation (2020),Population Aged 12+ That Is Married or Cohabiting (2020),Population with Catholic Religion (2020),Population with Protestant/Evangelical Christian Religion (2020),Population with Other Religions (2020),Population Without Religion or Religious Affiliation (2020),Total Dwellings (2020),Total Occupied Dwellings (2020),Total Private Dwellings (2020),Occupied Private Dwellings (2020),Total Occupied Private Dwellings (2020),Average Occupants per Occupied Private Dwelling (2020),Average Occupants per Room in Occupied Private Dwellings (2020),Occupied Private Dwellings with Flooring Material Other Than Dirt (2020),Occupied Private Dwellings with Dirt Floor (2020),Occupied Private Dwellings with Electricity (2020),Occupied Private Dwellings with Running Water Inside the Home (2020),Occupied Private Dwellings with Toilet or Latrine (2020),"Occupied Private Dwellings Without Electricity, Water, or Drainage (2020)","Occupied Private Dwellings Without Car, Truck, Motorcycle, or Scooter (2020)",Occupied Private Dwellings with Refrigerator (2020),"Occupied Private Dwellings with Computer, Laptop, or Tablet (2020)",Occupied Private Dwellings with Cell Phone (2020),Occupied Private Dwellings with Internet Access (2020)
1001,Aguascalientes,Aguascalientes,266508,948990,871193,756970,707473,657539,102987,1.98,214908,1822,8,4050,15170,47525,11618,14576,76256,182540,10.84,354455,486675,269195,10173,173199,391570,831010,55328,1539,58531,313256,266942,304033,257719,266778,3.54,0.84,264662,1530,265785,265232,265261,53,88348,254959,136923,251719,178619
1002,Aguascalientes,Asientos,12522,51536,46095,38399,35250,32032,4697,2.62,6025,22,0,43,225,2886,1242,1223,5057,13014,8.54,8892,21440,16864,426,7590,22095,48757,1648,14,1079,15353,12544,15339,12530,12542,4.1,1.07,12330,184,12420,12390,11968,13,4779,11071,2826,10682,4526
1003,Aguascalientes,Calvillo,15520,58250,52691,44778,41495,38275,7829,2.67,6566,74,1,173,266,4088,1862,2114,7694,13314,8.05,9402,25976,18638,379,11832,24567,55696,1141,9,1338,20842,15556,20748,15462,15546,3.74,0.97,15336,174,15398,15364,15378,26,6148,14659,4003,13666,6553
1004,Aguascalientes,Cosío,3931,17000,15254,12820,11817,10772,1613,2.51,1385,7,0,15,2155,805,371,358,1419,4323,9.08,3721,7010,5774,127,2347,7532,15806,769,8,409,4845,3938,4840,3933,3937,4.32,1.14,3891,40,3906,3900,3842,5,1526,3518,1005,3424,1741
1005,Aguascalientes,Jesús María,33171,129929,117571,99250,91487,83807,9815,2.11,23898,155,1,395,2543,5036,2175,2593,12055,24176,10.22,39383,65839,33247,894,27299,54850,118374,5208,190,5896,41550,33229,40588,32267,33214,3.91,0.95,32719,411,32977,32845,32817,26,9392,31414,15687,31408,19920
1006,Aguascalientes,Pabellón de Arteaga,11440,47646,42881,36250,33468,30596,4481,2.37,4416,52,0,114,482,2624,912,1017,3959,10547,9.77,13029,22097,14084,424,8858,19227,44054,2044,23,1458,13541,11470,13322,11251,11456,4.15,1.0,11350,78,11361,11306,11279,16,4239,10673,4437,10343,6200
1007,Aguascalientes,Rincón de Romos,13550,57369,51232,42927,39505,36034,5264,2.46,4906,208,1,409,335,3323,1360,1336,4544,11954,9.6,15209,26694,16125,440,11395,23519,53225,2133,37,1773,16527,13584,16462,13519,13572,4.22,1.06,13337,172,13422,13364,13239,12,4641,12388,4460,12171,6281
1008,Aguascalientes,San José de Gracia,2378,9552,8484,7068,6519,5961,956,2.66,311,21,0,30,590,569,159,101,985,2423,9.24,2000,3834,3220,66,1249,4119,9072,335,0,143,3410,2381,3406,2377,2381,4.01,0.99,2354,24,2345,2333,2306,5,804,2143,576,2099,732
1009,Aguascalientes,Tepezalá,5413,22485,20212,16877,15573,14200,2158,2.65,1267,18,0,35,83,1063,659,528,2455,5166,8.56,4303,9185,7653,283,3358,9902,21290,807,1,332,6592,5425,6583,5416,5422,4.14,1.08,5310,89,5355,5335,5256,5,2312,4916,1179,4610,2055
1010,Aguascalientes,El Llano,5208,20853,18740,15851,14603,13378,1988,2.62,1408,13,0,20,154,1141,568,617,2303,5416,8.49,3553,8668,7150,149,4387,9318,19548,782,9,467,6598,5211,6517,5130,5210,3.91,1.05,5127,80,5131,5113,4984,16,1846,4530,1044,4467,1329
1011,Aguascalientes,San Francisco de los Romo,16370,61997,55316,45529,41714,38170,3588,2.16,11340,116,11,268,422,2234,982,1104,5678,15163,9.21,13302,29512,15953,586,10574,26574,55587,3164,70,3013,21458,16391,21261,16194,16387,3.78,1.06,16218,117,16261,16248,16267,7,6709,14918,5009,15306,8047
2001,Baja California,Ensenada,138858,443807,410359,361229,339720,318838,53463,1.93,159809,11600,426,23831,7977,20367,7752,12166,37753,75838,10.34,165913,231560,127562,3106,77808,186743,253458,86307,604,102020,171203,139968,164464,133229,139850,3.15,0.86,136146,2504,136311,132593,128536,717,37118,128859,68939,131092,92742
