ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,P_5YMAS,P_12YMAS,P_15YMAS,P_18YMAS
01,Aguascalientes,001,Aguascalientes,0000,Total del Municipio,871193,756970,707473,657539
01,Aguascalientes,002,Asientos,0000,Total del Municipio,46095,38399,35250,32032
01,Aguascalientes,003,Calvillo,0000,Total del Municipio,52691,44778,41495,38275
01,Aguascalientes,004,Cosío,0000,Total del Municipio,15254,12820,11817,10772
01,Aguascalientes,005,Jesús María,0000,Total del Municipio,117571,99250,91487,83807
01,Aguascalientes,006,Pabellón de Arteaga,0000,Total del Municipio,42881,36250,33468,30596
01,Aguascalientes,007,Rincón de Romos,0000,Total del Municipio,51232,42927,39505,36034
01,Aguascalientes,008,San José de Gracia,0000,Total del Municipio,8484,7068,6519,5961
01,Aguascalientes,009,Tepezalá,0000,Total del Municipio,20212,16877,15573,14200
01,Aguascalientes,010,El Llano,0000,Total del Municipio,18740,15851,14603,13378
01,Aguascalientes,011,San Francisco de los Romo,0000,Total del Municipio,55316,45529,41714,38170
02,Baja California,001,Ensenada,0000,Total del Municipio,410359,361229,339720,318838
02,Baja California,002,Mexicali,0000,Total del Municipio,981769,866472,814668,763343
02,Baja California,003,Tecate,0000,Total del Municipio,99900,87982,82545,77367
02,Baja California,004,Tijuana,0000,Total del Municipio,1779843,1562395,1467282,1374132
02,Baja California,005,Playas de Rosarito,0000,Total del Municipio,118069,103540,96931,90397
02,Baja California,006,San Quintín,0000,Total del Municipio,104560,88002,81352,74831
03,Baja California Sur,001,Comondú,0000,Total del Municipio,67639,59034,55168,51078
03,Baja California Sur,002,Mulegé,0000,Total del Municipio,58230,50215,46913,43631
03,Baja California Sur,003,La Paz,0000,Total del Municipio,272072,240687,227140,213135
03,Baja California Sur,008,Los Cabos,0000,Total del Municipio,317532,272917,254833,237564
03,Baja California Sur,009,Loreto,0000,Total del Municipio,16677,14443,13498,12568
04,Campeche,001,Calkiní,0000,Total del Municipio,54114,46750,43717,40831
04,Campeche,002,Campeche,0000,Total del Municipio,271903,239859,226479,212959
04,Campeche,003,Carmen,0000,Total del Municipio,225092,196474,184437,172802
04,Campeche,004,Champotón,0000,Total del Municipio,70951,60026,55767,51500
04,Campeche,005,Hecelchakán,0000,Total del Municipio,29208,25104,23366,21736
04,Campeche,006,Hopelchén,0000,Total del Municipio,37661,31631,29013,26588
04,Campeche,007,Palizada,0000,Total del Municipio,7903,6759,6241,5791
04,Campeche,008,Tenabo,0000,Total del Municipio,10506,8997,8332,7778
04,Campeche,009,Escárcega,0000,Total del Municipio,54229,45321,41839,38614
04,Campeche,010,Calakmul,0000,Total del Municipio,27663,22485,20425,18531
04,Campeche,011,Candelaria,0000,Total del Municipio,41812,34640,31792,29212
04,Campeche,012,Seybaplaya,0000,Total del Municipio,14092,12289,11543,10847
05,Coahuila de Zaragoza,001,Abasolo,0000,Total del Municipio,947,852,814,780
05,Coahuila de Zaragoza,002,Acuña,0000,Total del Municipio,147375,125920,117214,108327
05,Coahuila de Zaragoza,003,Allende,0000,Total del Municipio,20877,17925,16746,15653
05,Coahuila de Zaragoza,004,Arteaga,0000,Total del Municipio,26691,22910,21494,20095
05,Coahuila de Zaragoza,005,Candela,0000,Total del Municipio,1496,1280,1186,1093
05,Coahuila de Zaragoza,006,Castaños,0000,Total del Municipio,26396,22594,21100,19656
05,Coahuila de Zaragoza,007,Cuatro Ciénegas,0000,Total del Municipio,11434,9739,9037,8412
05,Coahuila de Zaragoza,008,Escobedo,0000,Total del Municipio,2783,2335,2187,2044
05,Coahuila de Zaragoza,009,Francisco I. Madero,0000,Total del Municipio,53049,45439,42221,39099
05,Coahuila de Zaragoza,010,Frontera,0000,Total del Municipio,74687,64518,60250,56139
05,Coahuila de Zaragoza,011,General Cepeda,0000,Total del Municipio,10785,9175,8530,7933
05,Coahuila de Zaragoza,012,Guerrero,0000,Total del Municipio,1524,1318,1230,1147
05,Coahuila de Zaragoza,013,Hidalgo,0000,Total del Municipio,1529,1266,1142,1034
05,Coahuila de Zaragoza,014,Jiménez,0000,Total del Municipio,8622,7379,6893,6388
05,Coahuila de Zaragoza,015,Juárez,0000,Total del Municipio,1436,1237,1151,1081
05,Coahuila de Zaragoza,016,Lamadrid,0000,Total del Municipio,1625,1437,1352,1277
05,Coahuila de Zaragoza,017,Matamoros,0000,Total del Municipio,107553,92761,86195,79477
